interactions,customer_id_encoded,product_id_encoded,rating_normalized
1,22989,17043,1.0
1,60074,20616,0.75
1,31265,14359,0.5
1,14307,8090,1.0
1,51838,15856,1.0
1,56254,7585,1.0
1,50934,7130,1.0
1,55039,20540,0.75
1,49943,5884,1.0
1,24434,13959,1.0
1,914,4506,0.75
1,13955,6591,1.0
1,47388,4545,0.75
1,11678,8298,0.0
1,15945,12238,0.75
1,27110,17301,0.25
1,21342,9563,1.0
1,10596,5030,0.75
1,41939,3543,0.75
1,23686,8878,1.0
1,12320,3848,0.5
2,443,12725,1.0
1,47614,9043,0.5
1,47214,6336,1.0
1,759,20007,1.0
1,29890,2574,0.75
1,6102,20982,1.0
1,4430,14260,1.0
1,21097,1676,1.0
1,28383,8482,0.0
1,63928,15316,1.0
1,48063,3098,0.75
1,60583,7545,0.0
1,42405,11256,1.0
1,39258,7423,1.0
1,64316,19423,1.0
1,993,12371,1.0
1,9244,1779,1.0
2,4864,626,0.5
1,2856,1151,1.0
1,1166,19161,0.0
1,33371,18927,0.5
1,37922,9584,1.0
1,43942,2200,1.0
1,27832,16596,0.75
1,45291,17610,1.0
1,8643,105,1.0
1,40224,2305,1.0
1,63023,7778,1.0
1,39309,12567,1.0
1,61848,1873,1.0
1,46398,18172,1.0
1,8736,20716,1.0
1,52758,5870,0.5
1,20528,15714,1.0
1,20562,3904,0.25
2,58039,10260,1.0
1,29893,5297,1.0
1,51432,7006,1.0
1,6805,12122,0.75
1,38960,12433,1.0
1,23109,4080,0.75
1,49429,20028,1.0
1,22346,10174,1.0
1,12632,18838,1.0
1,20998,7045,0.75
1,3316,9917,1.0
1,1519,8868,0.0
1,10390,11082,1.0
1,19099,2792,0.0
1,29807,20127,1.0
1,27967,11095,0.25
1,10983,18216,1.0
1,44285,9293,1.0
2,33146,21161,0.0
1,10167,19381,1.0
1,55900,19986,0.0
5,26659,8789,0.75
1,31435,8472,1.0
1,41524,15963,1.0
1,49773,10357,1.0
1,38563,7381,1.0
1,22200,10746,1.0
1,5198,9935,1.0
1,45773,20796,1.0
1,766,9332,0.0
1,44919,13443,0.75
1,39905,323,0.25
1,51057,3687,1.0
1,11644,1542,0.75
1,10207,5659,0.75
1,52020,8643,0.75
1,11528,8254,1.0
1,48722,17400,0.75
1,20417,5161,1.0
1,488,7330,0.75
1,17836,13364,0.0
1,61971,16420,1.0
1,57466,846,1.0
1,50350,20236,1.0
1,30498,7006,0.75
1,62124,20629,1.0
1,48145,2081,0.0
1,12121,16256,0.75
1,22485,8213,0.75
1,21766,5161,1.0
1,17814,8696,1.0
1,10892,18207,0.0
1,56791,16256,0.5
1,36707,16453,1.0
1,64309,14109,0.5
1,35475,6375,1.0
1,41421,11925,1.0
1,44767,8391,1.0
1,49833,12725,0.5
1,48261,12244,1.0
1,45386,3223,0.75
1,53228,12314,0.0
1,10562,18566,0.75
1,52300,13900,1.0
1,20338,8052,0.0
1,37145,16958,0.5
3,27533,16756,1.0
1,28221,3315,1.0
1,12884,7716,1.0
2,12040,123,1.0
1,42136,4428,1.0
2,42491,10889,1.0
1,54050,1949,0.75
1,59367,19815,1.0
1,16663,8729,0.75
1,20425,4543,1.0
1,538,844,1.0
1,37031,14730,1.0
1,54600,16722,1.0
1,31973,11038,0.75
1,5435,20565,0.75
1,28424,6103,1.0
1,41534,11480,1.0
1,39166,17431,0.75
1,61274,12923,1.0
1,27185,2285,0.0
1,30514,18812,0.75
1,19512,16690,1.0
1,16640,7728,1.0
1,34555,13060,0.75
2,18843,18822,0.0
1,49534,8294,0.0
1,40562,11697,1.0
1,23236,4478,1.0
1,38502,5370,1.0
1,45199,5515,1.0
1,30562,177,1.0
1,57588,5759,1.0
1,23644,20588,1.0
1,42757,20422,1.0
2,18131,1750,0.75
1,62358,7514,1.0
1,2895,12132,1.0
1,32155,1502,1.0
1,23206,5027,1.0
1,60187,12970,0.75
1,4193,19794,1.0
